country,state,startDate,endDate,features
AU,AU-QLD,2017-11-24,2018-01-23,"20,45,15,20,33,22,13,32"
AU,AU-QLD,2017-11-24,2018-05-24,"19,57,10,14,56,18,7,19"
AU,AU-QLD,2017-11-24,2018-03-25,"20,51,12,17,43,20,10,27"
AU,AU-QLD,2017-11-24,2018-08-23,"24,55,10,11,62,13,6,19"
AU,AU-QLD,2017-11-24,2018-09-22,"26,54,9,11,63,14,5,18"
AU,AU-QLD,2017-11-24,2018-11-22,"27,54,9,10,68,14,6,12"
AU,AU-QLD,2016-03-01,2017-04-27,"32,48,9,11,71,15,3,11"
AU,AU-QLD,2016-03-01,2017-06-19,"30,51,9,10,69,14,5,12"
AU,AU-QLD,2016-03-01,2017-10-02,"29,52,9,10,69,15,4,12"
AU,AU-QLD,2016-03-01,2017-08-10,"31,50,9,10,69,15,4,12"